Регион;январь;февраль
Российская Федерация;75034;78432
Центральный федеральный округ;93297;99489
Белгородская область;60668;57500
Брянская область;50349;50835
Владимирская область;54863;56327
Воронежская область;55793;56371
Ивановская область;42820;43856
Калужская область;62404;63099
Костромская область;47489;48272
Курская область;57196;55541
Липецкая область;56202;57407
Московская область;88324;87368
Орловская область;48222;48727
Рязанская область;54953;56901
Смоленская область;52115;52141
Тамбовская область;47322;47351
Тверская область;56301;56864
Тульская область;61600;61979
Ярославская область;55256;57194
г.Москва ;131745;146248
Северо-Западный федеральный округ;81523;87109
Республика Карелия;69548;66613
Республика Коми;78762;78302
Архангельская область;77719;78570
в том числе Ненецкий авт.округ;124383;115887
Архангельская область без авт. округа.;73664;75262
Вологодская область;68406;60048
Калининградская область;53535;56673
Ленинградская область;70883;73299
Мурманская область;104545;101961
Новгородская область;59722;56502
Псковская область;47230;48854
г.Санкт-Петербург;92526;104870
Южный федеральный округ  ;53531;54225
Республика Адыгея;49581;48490
Республика Калмыкия;43281;44239
Республика Крым;46804;47673
Краснодарский край;57935;58630
Астраханская область;52409;53437
Волгоградская область;51661;51323
Ростовская область;52922;54123
г.Севастополь;49028;50170
Северо-Кавказский федеральный округ;42107;43764
Республика Дагестан;39102;40467
Республика Ингушетия;37376;37755
Кабардино-Балкарская Республика;41575;42014
Карачаево-Черкесская Республика;41246;43057
Республика Северная  Осетия - Алания;41703;43364
Чеченская Республика;37882;39663
Ставропольский край;46285;48378
Приволжский федеральный округ;56442;57406
Республика Башкортостан;57086;59165
Республика Марий Эл;49913;52185
Республика Мордовия;49968;49500
Республика Татарстан;63410;63628
Удмуртская Республика;56404;56927
Чувашская Республика;50812;52381
Пермский край;61467;63416
Кировская область;50289;50764
Нижегородская область;55659;56479
Оренбургская область;54014;56552
Пензенская область;50045;49800
Самарская область;58461;59043
Саратовская область;50947;51375
Ульяновская область;50591;51102
Уральский федеральный округ;78898;82363
Курганская область;53235;54942
Свердловская область;67244;70745
Тюменская область;102951;109311
         в том числе:;;
Ханты-Мансийский  авт. округ - Югра;103864;108951
Ямало-Ненецкий авт. округ;142150;149951
Тюменская область без авт. округов;70132;77525
Челябинская область;63557;63052
Сибирский федеральный округ;67616;68594
Республика Алтай;53375;54457
Республика Тыва;59553;60350
Республика Хакасия;63344;63656
Алтайский край;46470;47731
Красноярский край;82376;83245
Иркутская область;75567;76892
Кемеровская область - Кузбасс;70449;68690
Новосибирская область;65350;67052
Омская область;55585;58432
Томская область;66439;68135
Дальневосточный федеральный округ;85990;87412
Республика Бурятия;64041;63363
Республика Саха (Якутия);108422;108958
Забайкальский край;72880;71526
Камчатский край;119785;112100
Приморский край;74551;75076
Хабаровский край;75553;75167
Амурская область;74942;74948
Магаданская область;122108;150358
Сахалинская область;119475;134069
Еврейская авт.область;66176;66928
Чукотский авт.округ;159668;162548
