Регионг;февраль;март
Российская Федерация;6 075,45;6 110,86
    Центральный федеральный округ;6 285,3;6 332,08
        Белгородская область;4 997,74;5 052,69
        Брянская область;5 798,76;5 795,34
        Владимирская область;5 863,12;5 883,03
        Воронежская область;5 323,41;5 357,3
        Ивановская область;5 968,01;6 022,01
        Калужская область;5 872;5 940,92
        Костромская область;5 874,81;5 942,29
        Курская область;5 355,18;5 450,36
        Липецкая область;5 112,3;5 122,47
        Московская область;6 367,64;6 414,1
        Орловская область;5 588,63;5 625,86
        Рязанская область;5 528,33;5 593,72
        Смоленская область;5 861,29;5 945,66
        Тамбовская область;5 585,02;5 604,26
        Тверская область;5 718,89;5 794,05
        Тульская область;5 334,22;5 411,41
        Ярославская область;5 387,7;5 443,82
        Город Москва столица Российской Федерации город федерального значения;7 298,56;7 336,3
    Северо-Западный федеральный округ;6 867,42;6 903,12
        Республика Карелия;6 873,92;6 964,23
        Республика Коми;6 642,89;6 621,28
        Архангельская область;7 420,32;7 459,08
            Ненецкий автономный округ (Архангельская область);8 000,28;8 226,7
            Архангельская область (кроме Ненецкого автономного округа);7 396,97;7 428,18
        Вологодская область;6 718,92;6 763,44
        Калининградская область;6 925;6 978,53
        Ленинградская область;6 754,92;6 828,34
        Мурманская область;7 409,12;7 435,59
        Новгородская область;6 363,27;6 357,99
        Псковская область;6 455,03;6 462,38
        Город Санкт-Петербург город федерального значения;6 925,13;6 955,43
    Южный федеральный округ (с 29.07.2016);5 803,1;5 811,72
        Республика Адыгея (Адыгея);5 622,14;5 610,89
        Республика Калмыкия;5 652,32;5 694,37
        Республика Крым;6 101,36;6 052,79
        Краснодарский край;6 221,3;6 249,84
        Астраханская область;5 727,36;5 770,12
        Волгоградская область;5 238,55;5 233,57
        Ростовская область;5 720,16;5 762,86
        Город федерального значения Севастополь;6 179,82;6 124,93
    Северо-Кавказский федеральный округ;5 854,01;5 897,82
        Республика Дагестан;6 004,1;6 053,85
        Республика Ингушетия;6 123,84;6 263,61
        Кабардино-Балкарская Республика;5 501,75;5 611,98
        Карачаево-Черкесская Республика;5 950,79;5 955,4
        Республика Северная Осетия-Алания;5 700,57;5 736,23
        Чеченская Республика;5 965,14;5 994,13
        Ставропольский край;6 053,69;6 121,36
    Приволжский федеральный округ;5 314,61;5 346,78
        Республика Башкортостан;5 410,1;5 435,34
        Республика Марий Эл;5 248,31;5 289,1
        Республика Мордовия;4 959,09;4 991,13
        Республика Татарстан (Татарстан);5 243,94;5 256,45
        Удмуртская Республика;5 295,42;5 349,45
        Чувашская Республика - Чувашия;5 277,91;5 280,62
        Пермский край;5 862,09;5 881,19
        Кировская область;5 354,33;5 381,68
        Нижегородская область;5 254,57;5 326,81
        Оренбургская область;5 364,64;5 415,62
        Пензенская область;5 049,73;5 068,48
        Самарская область;5 352,67;5 385,24
        Саратовская область;5 262,07;5 284,6
        Ульяновская область;5 397,31;5 427,28
    Уральский федеральный округ;6 392,17;6 433,3
        Курганская область;5 700,59;5 728,05
        Свердловская область;6 157,82;6 217,68
        Тюменская область;6 956,78;6 988,56
            Ханты-Мансийский автономный округ - Югра (Тюменская область);7 184,8;7 190,82
            Ямало-Ненецкий автономный округ (Тюменская область);7 931,05;7 995,93
            Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа);6 315,11;6 363,41
        Челябинская область;6 206,32;6 251,27
    Сибирский федеральный округ;6 209,09;6 243,15
        Республика Алтай;6 800,53;6 852,64
        Республика Тыва;6 613,08;6 705,59
        Республика Хакасия;7 020,09;7 023
        Алтайский край;6 029,76;6 088,55
        Красноярский край;7 019,41;7 050,34
        Иркутская область;6 497,46;6 533,08
        Кемеровская область - Кузбасс;6 061,16;6 087,36
        Новосибирская область;6 128,97;6 160,82
        Омская область;5 199,32;5 234,08
        Томская область;5 974,16;6 004,79
    Дальневосточный федеральный округ;8 240,99;8 282,72
        Республика Бурятия;6 776,51;6 835,21
        Забайкальский край;7 767,55;7 775,78
        Республика Саха (Якутия);9 678,94;9 719,2
        Камчатский край;9 956,07;10 023,09
        Приморский край;8 360,02;8 397,28
        Хабаровский край;8 256,23;8 373,31
        Амурская область;7 086,15;7 111,58
        Магаданская область;10 627,28;10 720,05
        Сахалинская область;9 247,59;9 279,63
        Еврейская автономная область;7 774,34;7 823,73
        Чукотский автономный округ;15 374,94;15 243,42
