Регион;Все население;Городское население;Сельское население
Российская Федеpация;146447424;109655563;36791861
Центральный федеральный округ;40240256;33071627;7168629
Белгородская область;1514527;989816;524711
Брянская область;1152505;802376;350129
Владимирская область;1325510;1029181;296329
Воронежская область;2285282;1565753;719529
Ивановская область;914725;750725;164000
Калужская область;1070853;801577;269276
Костромская область;571900;423745;148155
Курская область;1067034;730769;336265
Липецкая область;1126263;709363;416900
Московская область;8591736;6726786;1864950
Орловская область;700276;466466;233810
Рязанская область;1088918;777235;311683
Смоленская область;873041;634366;238675
Тамбовская область;966250;583260;382990
Тверская область;1211183;924628;286555
Тульская область;1481471;1083878;397593
Ярославская область;1194605;967526;227079
г. Москва;13104177;13104177;0
Северо-Западный федеральный округ;13867347;11784124;2083223
Республика Карелия;527880;420887;106993
Республика Коми;726434;564359;162075
Архангельская область ;1005687;781444;224243
Ненецкий автономный округ;41383;30832;10551
Архангельская область без Ненецкого автономного округа;964304;750612;213692
Вологодская область;1128782;818635;310147
Калининградская область;1032343;790930;241413
Ленинградская область;2023767;1357252;666515
Мурманская область;658698;612858;45840
Новгородская область;575926;421125;154801
Псковская область;587786;416590;171196
г.Санкт-Петербург ;5600044;5600044;0
Южный федеральный округ;16642052;10519371;6122681
Республика Адыгея;497985;243944;254041
Республика Калмыкия;264483;124270;140213
Республика Крым;1916805;963958;952847
Краснодарский край;5819345;3324820;2494525
Астраханская область;950557;608953;341604
Волгоградская область;2470057;1916300;553757
Ростовская область;4164547;2820735;1343812
г. Севастополь;558273;516391;41882
Северо-Кавказский федеральный округ;10205730;5165291;5040439
Республика Дагестан;3209781;1450491;1759290
Республика Ингушетия;519078;284653;234425
Кабардино-Балкарская Республика;903266;467644;435622
Карачаево-Черкесская Республика;468444;193802;274642
Республика Северная Осетия-Алания;680748;430138;250610
Чеченская Республика;1533209;584739;948470
Ставропольский край;2891204;1753824;1137380
Приволжский федеральный округ;28683247;20739346;7943901
Республика Башкортостан;4077600;2542369;1535231
Республика Марий Эл ;672321;462660;209661
Республика Мордовия;771373;490388;280985
Республика Татарстан;4001625;3071356;930269
Удмуртская Республика;1442251;948447;493804
Чувашская Республика;1173177;754451;418726
Пермский край;2508352;1898277;610075
Кировская область;1138112;891429;246683
Нижегородская область;3081817;2465535;616282
Оренбургская область;1841377;1102225;739152
Пензенская область;1246609;857559;389050
Самарская область;3142683;2498659;644024
Саратовская область;2404944;1846905;558039
Ульяновская область;1181006;909086;271920
Уральский федеральный округ;12259126;10060938;2198188
Курганская область;761586;489010;272576
Свердловская область;4239161;3639118;600043
Тюменская область ;3851234;3118663;732571
Ханты-Мансийский автономный округ-Югра;1730353;1595766;134587
Ямало-Ненецкий автономный округ;512387;434071;78316
Тюменская область без автономных округов;1608494;1088826;519668
Челябинская область;3407145;2814147;592998
Сибирский федеральный округ;16645802;12489271;4156531
Республика Алтай;210769;64957;145812
Республика Тыва;337271;186501;150770
Республика Хакасия;530233;364045;166188
Алтайский край;2130950;1242728;888222
Красноярский край ;2845545;2264708;580837
Иркутская область;2344360;1817199;527161
Кемеровская область;2568238;2222194;346044
Новосибирская область;2794266;2227777;566489
Омская область;1832064;1349162;482902
Томская область;1052106;750000;302106
Дальневосточный федеральный округ;7903864;5825595;2078269
Республика Бурятия;974628;576015;398613
Республика Саха (Якутия);997565;670281;327284
Забайкальский край;992429;689961;302468
Камчатский край;288730;225106;63624
Приморский край;1820076;1427371;392705
Хабаровский край;1284090;1072186;211904
Амурская область;756198;517053;239145
Магаданская область;134315;129615;4700
Сахалинская область;460535;380533;80002
Еврейская автономная область;147458;104427;43031
Чукотский автономный округ;47840;33047;14793
